batch_no,question_code,option_code,option_label,option_content,is_correct,sort_no
20260513-batch-real-001,Q-OVERVIEW-0015,A,A,空机质量大于等于 15KG 的无人机,0,10
20260513-batch-real-001,Q-OVERVIEW-0015,B,B,空机质量大于 4KG 小于等于 15KG，起飞全重大于 7KG 小于等于 25KG 的无人机,1,20
20260513-batch-real-001,Q-OVERVIEW-0015,C,C,起飞全重小于等于 5KG 的无人机,0,30
20260513-batch-real-001,Q-OVERVIEW-0016,A,A,空机质量大于 15kG 小于等于 116KG，起飞全重大于 25KG 小于等于 150KG 的无人机,1,10
20260513-batch-real-001,Q-OVERVIEW-0016,B,B,空机质量大于 25KG 的无人机,0,20
20260513-batch-real-001,Q-OVERVIEW-0016,C,C,起飞全重小于 25KG 的无人机,0,30
20260513-batch-real-001,Q-OVERVIEW-0017,A,A,在融合空域运行的Ⅺ、Ⅻ类无人机,1,10
20260513-batch-real-001,Q-OVERVIEW-0017,B,B,在隔离空域内运行的 Ⅰ 、 Ⅱ类无人机,0,20
20260513-batch-real-001,Q-OVERVIEW-0017,C,C,无人飞艇,0,30
20260513-batch-real-001,Q-OVERVIEW-0018,A,A,电子打火器,1,10
20260513-batch-real-001,Q-OVERVIEW-0018,B,B,排气系统,0,20
20260513-batch-real-001,Q-OVERVIEW-0018,C,C,进气系统,0,30
20260513-batch-real-001,Q-OVERVIEW-0019,A,A,汽油,0,10
20260513-batch-real-001,Q-OVERVIEW-0019,B,B,滑油,0,20
20260513-batch-real-001,Q-OVERVIEW-0019,C,C,汽油和滑油,1,30
20260513-batch-real-001,Q-OVERVIEW-0020,A,A,电动,1,10
20260513-batch-real-001,Q-OVERVIEW-0020,B,B,气动,0,20
20260513-batch-real-001,Q-OVERVIEW-0020,C,C,油动,0,30
20260513-batch-real-001,Q-OVERVIEW-0021,A,A,增长,0,10
20260513-batch-real-001,Q-OVERVIEW-0021,B,B,减短,1,20
20260513-batch-real-001,Q-OVERVIEW-0021,C,C,一样,0,30
20260513-batch-real-001,Q-OVERVIEW-0022,A,A,AOPA,0,10
20260513-batch-real-001,Q-OVERVIEW-0022,B,B,民航局,0,20
20260513-batch-real-001,Q-OVERVIEW-0022,C,C,不需要,1,30
20260513-batch-real-001,Q-OVERVIEW-0023,A,A,人员资质由行业协会负责管理,0,10
20260513-batch-real-001,Q-OVERVIEW-0023,B,B,无须证照管理，自行负责,1,20
20260513-batch-real-001,Q-OVERVIEW-0023,C,C,人员资质由局方负责管理,0,30
20260513-batch-real-001,Q-OVERVIEW-0024,A,A,空机质量≤1.5kg，起飞全重≤1.5kg,1,10
20260513-batch-real-001,Q-OVERVIEW-0024,B,B,空机质量≤0.5kg，起飞全重≤1.5kg,0,20
20260513-batch-real-001,Q-OVERVIEW-0024,C,C,空机质量≤1kg，起飞全重≤2.5kgl>,0,30
20260513-batch-real-001,Q-OVERVIEW-0025,A,A,II、 III、 IV、V、VI、 VII 类无人机,0,10
20260513-batch-real-001,Q-OVERVIEW-0025,B,B,III、 IV、VI、 VII 类无人机,0,20
20260513-batch-real-001,Q-OVERVIEW-0025,C,C,III、 IV、VI、 VII 类无人机及重点地区和机场净空区以下运行的 II、V 类无人机,1,30
20260513-batch-real-001,Q-OVERVIEW-0027,A,A,飞艇,0,10
20260513-batch-real-001,Q-OVERVIEW-0027,B,B,直升机,0,20
20260513-batch-real-001,Q-OVERVIEW-0027,C,C,卫星,1,30
20260513-batch-real-001,Q-OVERVIEW-0028,A,A,油动固定翼,1,10
20260513-batch-real-001,Q-OVERVIEW-0028,B,B,电动固定翼,0,20
20260513-batch-real-001,Q-OVERVIEW-0028,C,C,电动多旋翼,0,30
20260513-batch-real-001,Q-OVERVIEW-0029,A,A,正负 120 度,1,10
20260513-batch-real-001,Q-OVERVIEW-0029,B,B,正负 20 度,0,20
20260513-batch-real-001,Q-OVERVIEW-0031,A,A,精灵,0,10
20260513-batch-real-001,Q-OVERVIEW-0031,B,B,悟,1,20
20260513-batch-real-001,Q-OVERVIEW-0031,C,C,S800,0,30
20260513-batch-real-001,Q-OVERVIEW-0032,A,A,19 世纪 80 年代,0,10
20260513-batch-real-001,Q-OVERVIEW-0032,B,B,20 世纪 20 年代,1,20
20260513-batch-real-001,Q-OVERVIEW-0032,C,C,20 世纪 40 年代,0,30
20260513-batch-real-001,Q-OVERVIEW-0033,C,C,2408-2440MHz.,1,10
20260513-batch-real-001,Q-OVERVIEW-0034,A,A,自驾仪或遥控接收机,0,10
20260513-batch-real-001,Q-OVERVIEW-0034,B,B,电机,1,20
20260513-batch-real-001,Q-OVERVIEW-0034,C,C,电池,0,30
20260513-batch-real-001,Q-OVERVIEW-0035,A,A,铅酸电池,0,10
20260513-batch-real-001,Q-OVERVIEW-0035,B,B,镍镉电池,1,20
20260513-batch-real-001,Q-OVERVIEW-0035,C,C,聚合物锂电池,0,30
20260513-batch-real-001,Q-OVERVIEW-0036,A,A,电池由 6S2P 公司生产,0,10
20260513-batch-real-001,Q-OVERVIEW-0036,B,B,电池组先由 2 个单体串联，再将串联后的6 组并联,0,20
20260513-batch-real-001,Q-OVERVIEW-0036,C,C,电池组先由 6 个单体串联，再将串联后的2 组并联,1,30
20260513-batch-real-001,Q-OVERVIEW-0037,A,A,无刷电调驱动直流电机，无法调速,0,10
20260513-batch-real-001,Q-OVERVIEW-0037,B,B,三相交流电机通过交流电调将电池直流变成交流作为电机输入,1,20
20260513-batch-real-001,Q-OVERVIEW-0037,C,C,有刷电机便于调速和驱动交流电机,0,30
20260513-batch-real-001,Q-OVERVIEW-0038,A,A,姿态角度,0,10
20260513-batch-real-001,Q-OVERVIEW-0038,B,B,角速度,1,20
20260513-batch-real-001,Q-OVERVIEW-0038,C,C,航向角,0,30
20260513-batch-real-001,Q-OVERVIEW-0039,A,A,尽量在高高度开伞,1,10
20260513-batch-real-001,Q-OVERVIEW-0039,B,B,尽量在上风区开伞,0,20
20260513-batch-real-001,Q-OVERVIEW-0039,C,C,尽量在有技术条件的情况下，接地后切断主伞连接,0,30
20260513-batch-real-001,Q-OVERVIEW-0040,A,A,无法在线重规划航线航点及发送任务指令,0,10
20260513-batch-real-001,Q-OVERVIEW-0040,B,B,地面站不再更新无人机的遥测数据,1,20
20260513-batch-real-001,Q-OVERVIEW-0040,C,C,无人机航拍图传图像丢失,0,30
20260513-batch-real-001,Q-OVERVIEW-0041,A,A,无人机退出地面站控制模式,0,10
20260513-batch-real-001,Q-OVERVIEW-0041,B,B,不能获取无人机状态信息,0,20
20260513-batch-real-001,Q-OVERVIEW-0041,C,C,无法在线重规划航线航点及发送任务指令,1,30
20260513-batch-real-001,Q-OVERVIEW-0042,A,A,可性指标高,1,10
20260513-batch-real-001,Q-OVERVIEW-0042,B,B,无需生命支持系统,0,20
20260513-batch-real-001,Q-OVERVIEW-0042,C,C,训练可多依赖于模拟器,0,30
20260513-batch-real-001,Q-OVERVIEW-0043,A,A,一般来讲，常规直升机尺度较大，多轴飞行器尺度较小,0,10
20260513-batch-real-001,Q-OVERVIEW-0043,B,B,一般来讲，常规直升机以油动为主，多轴飞行器基本都是电动动力,0,20
20260513-batch-real-001,Q-OVERVIEW-0043,C,C,一般来讲，常规直升机飞行中主要改变转速，多轴飞行器飞行中主要改变桨距,1,30
20260513-batch-real-001,Q-OVERVIEW-0044,A,A,逆风左转 90 度，转出的弯大,0,10
20260513-batch-real-001,Q-OVERVIEW-0044,B,B,顺风左转 90 度，转出的弯大,1,20
20260513-batch-real-001,Q-OVERVIEW-0044,C,C,逆风、顺风左转 90 度，转出的弯一样大,0,30
20260513-batch-real-001,Q-OVERVIEW-0045,A,A,巡航速度大,1,10
20260513-batch-real-001,Q-OVERVIEW-0045,B,B,巡航速度适中,0,20
20260513-batch-real-001,Q-OVERVIEW-0045,C,C,巡航速度小,0,30
20260513-batch-real-001,Q-OVERVIEW-0046,A,A,舵面遥控,0,10
20260513-batch-real-001,Q-OVERVIEW-0046,B,B,姿态遥控,1,20
20260513-batch-real-001,Q-OVERVIEW-0046,C,C,指令控制,0,30
20260513-batch-real-001,Q-OVERVIEW-0047,A,A,越高,0,10
20260513-batch-real-001,Q-OVERVIEW-0047,B,B,越低,1,20
20260513-batch-real-001,Q-OVERVIEW-0047,C,C,无关,0,30
20260513-batch-real-001,Q-OVERVIEW-0049,A,A,毂轴处,1,10
20260513-batch-real-001,Q-OVERVIEW-0049,B,B,叶尖处,0,20
20260513-batch-real-001,Q-OVERVIEW-0049,C,C,桨叶中部,0,30
20260513-batch-real-001,Q-OVERVIEW-0050,A,A,加速度传感器,0,10
20260513-batch-real-001,Q-OVERVIEW-0050,B,B,角速率传感器,0,20
20260513-batch-real-001,Q-OVERVIEW-0050,C,C,GPS 卫星导航接收机,1,30
20260513-batch-real-001,Q-OVERVIEW-0050,C,C,、GPS卫星导航接收机：通过接收卫星信号直接计算无人机的经纬度坐标，是典型的位置传感器。,1,40
20260513-batch-real-001,Q-OVERVIEW-0051,A,A,6000 米,0,10
20260513-batch-real-001,Q-OVERVIEW-0051,B,B,7000 米,0,20
20260513-batch-real-001,Q-OVERVIEW-0051,C,C,8000 米,1,30
20260513-batch-real-001,Q-OVERVIEW-0052,A,A,桨根处角速度等于桨尖处角速度,1,10
20260513-batch-real-001,Q-OVERVIEW-0052,B,B,桨根处线速度大于桨尖处线速度,0,20
20260513-batch-real-001,Q-OVERVIEW-0052,C,C,桨根处升力系数小于桨尖处升力系数,0,30
20260513-batch-real-001,Q-OVERVIEW-0053,A,A,危险品生产许可证号、营业执照和农药登记证号,0,10
20260513-batch-real-001,Q-OVERVIEW-0053,B,B,农药生产许可证或农药生产批准文件号、农药标准号和农药登记证号,1,20
20260513-batch-real-001,Q-OVERVIEW-0053,C,C,农药生产许可证或农药生产批准文件号、农药标准号和营业执照,0,30
20260513-batch-real-001,Q-OVERVIEW-0054,A,A,化学防治法,0,10
20260513-batch-real-001,Q-OVERVIEW-0054,B,B,物理机械防治法,0,20
20260513-batch-real-001,Q-OVERVIEW-0054,C,C,生物防治法,1,30
20260513-batch-real-001,Q-OVERVIEW-0055,A,A,轻于空气的航空器,0,10
20260513-batch-real-001,Q-OVERVIEW-0055,B,B,直升机,1,20
20260513-batch-real-001,Q-OVERVIEW-0055,C,C,旋翼机,0,30
20260513-batch-real-001,Q-OVERVIEW-0056,A,A,顺风,0,10
20260513-batch-real-001,Q-OVERVIEW-0056,B,B,逆风,0,20
20260513-batch-real-001,Q-OVERVIEW-0056,C,C,一样快,1,30
20260513-batch-real-001,Q-OVERVIEW-0057,A,A,顺风,1,10
20260513-batch-real-001,Q-OVERVIEW-0057,B,B,逆风,0,20
20260513-batch-real-001,Q-OVERVIEW-0057,C,C,一样快,0,30
20260513-batch-real-001,Q-OVERVIEW-0058,A,A,Lipo B.NiMh C.NiCd,1,10
20260513-batch-real-001,Q-SYSTEM-0001,A,A,轻于,0,10
20260513-batch-real-001,Q-SYSTEM-0001,B,B,重于,1,20
20260513-batch-real-001,Q-SYSTEM-0001,C,C,等于,0,30
20260513-batch-real-001,Q-SYSTEM-0002,A,A,测绘,0,10
20260513-batch-real-001,Q-SYSTEM-0002,B,B,直播,0,20
20260513-batch-real-001,Q-SYSTEM-0002,C,C,超远距离监控,1,30
20260513-batch-real-001,Q-SYSTEM-0003,A,A,高空长航时侦查,0,10
20260513-batch-real-001,Q-SYSTEM-0003,B,B,航拍，电影取景,1,20
20260513-batch-real-001,Q-SYSTEM-0003,C,C,侦打一体化,0,30
20260513-batch-real-001,Q-SYSTEM-0004,A,A,①④⑤,0,10
20260513-batch-real-001,Q-SYSTEM-0004,B,B,②③④,0,20
20260513-batch-real-001,Q-SYSTEM-0004,C,C,①②③④⑤,1,30
20260513-batch-real-001,Q-SYSTEM-0005,A,A,减少油箱的剩余燃油,0,10
20260513-batch-real-001,Q-SYSTEM-0005,B,B,保证大速度巡航的用油,0,20
20260513-batch-real-001,Q-SYSTEM-0005,C,C,保证爬升、下降及其他特殊情况下的正常供油,1,30
20260513-batch-real-001,Q-SYSTEM-0006,A,A,通气增大供油流量,0,10
20260513-batch-real-001,Q-SYSTEM-0006,B,B,保证向发动机正常供油,1,20
20260513-batch-real-001,Q-SYSTEM-0006,C,C,通气减小供油流量,0,30
20260513-batch-real-001,Q-SYSTEM-0007,A,A,影响燃油气化,1,10
20260513-batch-real-001,Q-SYSTEM-0007,B,B,无法加油,0,20
20260513-batch-real-001,Q-SYSTEM-0007,C,C,影响空中供油,0,30
20260513-batch-real-001,Q-SYSTEM-0008,A,A,无人机飞行员,0,10
20260513-batch-real-001,Q-SYSTEM-0008,B,B,地面消防员,1,20
20260513-batch-real-001,Q-SYSTEM-0008,C,C,手拿传呼机的指挥员,0,30
20260513-batch-real-001,Q-SYSTEM-0009,A,A,使飞机用电设备接地,0,10
20260513-batch-real-001,Q-SYSTEM-0009,B,B,防止放电起火,1,20
20260513-batch-real-001,Q-SYSTEM-0009,C,C,防止加油时遭雷击,0,30
20260513-batch-real-001,Q-SYSTEM-0010,A,A,"尽量减少水汽进入油箱,避免燃油污染",1,10
20260513-batch-real-001,Q-SYSTEM-0010,B,B,便于第二天尽快飞行,0,20
20260513-batch-real-001,Q-SYSTEM-0010,C,C,防汽化器式活塞发动机在何时容易出现汽化器回火现象,0,30
20260513-batch-real-001,Q-SYSTEM-0011,A,A,热发动启动时,0,10
20260513-batch-real-001,Q-SYSTEM-0011,B,B,油门收得过猛,0,20
20260513-batch-real-001,Q-SYSTEM-0011,C,C,寒冷天气第一次启动时,1,30
20260513-batch-real-001,Q-SYSTEM-0012,A,A,发动机的排气温度,1,10
20260513-batch-real-001,Q-SYSTEM-0012,B,B,发动机滑油温度,0,20
20260513-batch-real-001,Q-SYSTEM-0012,C,C,发动机转速,0,30
20260513-batch-real-001,Q-SYSTEM-0013,A,A,用电设备,0,10
20260513-batch-real-001,Q-SYSTEM-0013,B,B,配电设备,1,20
20260513-batch-real-001,Q-SYSTEM-0013,C,C,供电线路,0,30
20260513-batch-real-001,Q-SYSTEM-0014,A,A,电源、电缆、接插件,0,10
20260513-batch-real-001,Q-SYSTEM-0014,B,B,电源、配电系统、用电设备,1,20
20260513-batch-real-001,Q-SYSTEM-0014,C,C,电源、供电系统、用电设备,0,30
20260513-batch-real-001,Q-SYSTEM-0015,A,A,电池,0,10
20260513-batch-real-001,Q-SYSTEM-0015,B,B,调速系统,1,20
20260513-batch-real-001,Q-SYSTEM-0015,C,C,无刷电机,0,30
20260513-batch-real-001,Q-SYSTEM-0016,A,A,电缆和配电,0,10
20260513-batch-real-001,Q-SYSTEM-0016,B,B,电源和电缆,0,20
20260513-batch-real-001,Q-SYSTEM-0016,C,C,电源和配电,1,30
20260513-batch-real-001,Q-SYSTEM-0017,A,A,配电系统,0,10
20260513-batch-real-001,Q-SYSTEM-0017,B,B,电源,0,20
20260513-batch-real-001,Q-SYSTEM-0017,C,C,供电系统,1,30
20260513-batch-real-001,Q-SYSTEM-0018,A,A,电动系统尺寸较小且较为廉价,0,10
20260513-batch-real-001,Q-SYSTEM-0018,B,B,电动系统形式简单且电机速度响应快,1,20
20260513-batch-real-001,Q-SYSTEM-0018,C,C,电动系统干净且不依赖传统生物燃料,0,30
20260513-batch-real-001,Q-SYSTEM-0019,A,A,动力电池,1,10
20260513-batch-real-001,Q-SYSTEM-0019,B,B,电动机,0,20
20260513-batch-real-001,Q-SYSTEM-0019,C,C,机载遥控接收机,0,30
20260513-batch-real-001,Q-SYSTEM-0020,A,A,中低空、低速短距/垂直起降无人机,0,10
20260513-batch-real-001,Q-SYSTEM-0020,B,B,高空长航时无人机/无人战斗机,0,20
20260513-batch-real-001,Q-SYSTEM-0020,C,C,中高空长航时无人机,1,30
20260513-batch-real-001,Q-SYSTEM-0021,A,A,大螺旋桨用低 KV 电机,0,10
20260513-batch-real-001,Q-SYSTEM-0021,B,B,大螺旋桨要用高 KV 电机,1,20
20260513-batch-real-001,Q-SYSTEM-0021,C,C,小螺旋桨要用高 KV 电机,0,30
20260513-batch-real-001,Q-SYSTEM-0022,A,A,该电机最大承受 22V 电压，最小承受 8V 电压,0,10
20260513-batch-real-001,Q-SYSTEM-0022,B,B,该电机定子高度为 22 毫米,0,20
20260513-batch-real-001,Q-SYSTEM-0022,C,C,该电机定子直径为 22 毫米,1,30
20260513-batch-real-001,Q-SYSTEM-0023,A,A,该电机最大承受 38V 电压，最小承受 10V,0,10
20260513-batch-real-001,Q-SYSTEM-0023,B,B,该电机定子直径为 38 毫米,1,20
20260513-batch-real-001,Q-SYSTEM-0023,C,C,该电机定子高度为 38 毫米,0,30
20260513-batch-real-001,Q-SYSTEM-0024,A,A,外加 1V 电压对应的每分钟负载转速,0,10
20260513-batch-real-001,Q-SYSTEM-0024,B,B,外加 1V 电压对应的每分钟空载转速,1,20
20260513-batch-real-001,Q-SYSTEM-0024,C,C,额定电压值时电机每分钟空载转速,0,30
20260513-batch-real-001,Q-SYSTEM-0025,A,A,对应每 V 电压，电机提供 500000 转转速,0,10
20260513-batch-real-001,Q-SYSTEM-0025,B,B,电机最大耐压 500KV,0,20
20260513-batch-real-001,Q-SYSTEM-0025,C,C,对应每 V 电压，电机提供 500 转转速,1,30
20260513-batch-real-001,Q-SYSTEM-0026,A,A,对应每 V 电压，电机提供 1000000 转转速,0,10
20260513-batch-real-001,Q-SYSTEM-0026,B,B,对应每 V 电压，电机提供 1000 转转速,1,20
20260513-batch-real-001,Q-SYSTEM-0026,C,C,电机最大耐压 1000KV,0,30
20260513-batch-real-001,Q-SYSTEM-0027,A,A,无刷电机,1,10
20260513-batch-real-001,Q-SYSTEM-0027,B,B,有刷电机,0,20
20260513-batch-real-001,Q-SYSTEM-0027,C,C,四冲程发动机,0,30
20260513-batch-real-001,Q-SYSTEM-0028,A,A,步进电机,0,10
20260513-batch-real-001,Q-SYSTEM-0028,B,B,内转子电机,0,20
20260513-batch-real-001,Q-SYSTEM-0028,C,C,外转子电机,1,30
20260513-batch-real-001,Q-SYSTEM-0029,A,A,有刷电机驱动交流电,0,10
20260513-batch-real-001,Q-SYSTEM-0029,B,B,无刷电机驱动交流电,1,20
20260513-batch-real-001,Q-SYSTEM-0029,C,C,无刷电机驱动直流电,0,30
20260513-batch-real-001,Q-SYSTEM-0030,A,A,无刷电机效率较高,1,10
20260513-batch-real-001,Q-SYSTEM-0030,B,B,有刷电机效率较高,0,20
20260513-batch-real-001,Q-SYSTEM-0030,C,C,两类电机效率差不多,0,30
20260513-batch-real-001,Q-SYSTEM-0031,A,A,BEC,0,10
20260513-batch-real-001,Q-SYSTEM-0031,B,B,ESC,1,20
20260513-batch-real-001,Q-SYSTEM-0031,C,C,MCS,0,30
20260513-batch-real-001,Q-SYSTEM-0032,A,A,双向电调,0,10
20260513-batch-real-001,Q-SYSTEM-0032,B,B,有刷电调,0,20
20260513-batch-real-001,Q-SYSTEM-0032,C,C,无刷电调,1,30
20260513-batch-real-001,Q-SYSTEM-0033,A,A,5A 电调,0,10
20260513-batch-real-001,Q-SYSTEM-0033,B,B,10A 电调,1,20
20260513-batch-real-001,Q-SYSTEM-0033,C,C,30A 电调,0,30
20260513-batch-real-001,Q-SYSTEM-0034,A,A,电调需要从较粗的红线与黑线输入 5V 的电压,0,10
20260513-batch-real-001,Q-SYSTEM-0034,B,B,电调能从较粗的红线与黑线向外输出 5V 的电压,0,20
20260513-batch-real-001,Q-SYSTEM-0034,C,C,电调能从较细的红线与黑线向外输出 5V 的电压,1,30
20260513-batch-real-001,Q-SYSTEM-0035,A,A,电调所能承受的稳定工作电流是 15A,1,10
20260513-batch-real-001,Q-SYSTEM-0035,B,B,电调所能承受的最大瞬间电流是 15A,0,20
20260513-batch-real-001,Q-SYSTEM-0035,C,C,电调所能承受的最小工作电流是 15A,0,30
20260513-batch-real-001,Q-SYSTEM-0036,A,A,断开电机,0,10
20260513-batch-real-001,Q-SYSTEM-0036,B,B,接上电机,0,20
20260513-batch-real-001,Q-SYSTEM-0036,C,C,断开动力电源,1,30
20260513-batch-real-001,Q-SYSTEM-0037,A,A,该电机停转,0,10
20260513-batch-real-001,Q-SYSTEM-0037,B,B,该电机出现过热并烧毁,0,20
20260513-batch-real-001,Q-SYSTEM-0037,C,C,该电机反向运转,1,30
20260513-batch-real-001,Q-SYSTEM-0038,A,A,电机,0,10
20260513-batch-real-001,Q-SYSTEM-0038,B,B,机载遥控接收机,0,20
20260513-batch-real-001,Q-SYSTEM-0038,C,C,飞控,1,30
20260513-batch-real-001,Q-SYSTEM-0039,A,A,1.2V,0,10
20260513-batch-real-001,Q-SYSTEM-0039,B,B,11.1V,0,20
20260513-batch-real-001,Q-SYSTEM-0039,C,C,3.7V,1,30
20260513-batch-real-001,Q-SYSTEM-0040,A,A,聚合物锂电池单体充电至 4.6V 满电,1,10
20260513-batch-real-001,Q-SYSTEM-0040,B,B,聚合物锂电池单体充电至 4.2V 满电,0,20
20260513-batch-real-001,Q-SYSTEM-0040,C,C,磷酸铁锂电池单体充电至 3.6V 满电,0,30
20260513-batch-real-001,Q-SYSTEM-0041,A,A,6S 锂电池,0,10
20260513-batch-real-001,Q-SYSTEM-0041,B,B,11.1S 锂电池,0,20
20260513-batch-real-001,Q-SYSTEM-0041,C,C,3S 锂电池,1,30
20260513-batch-real-001,Q-SYSTEM-0042,A,A,6s 锂电池,1,10
20260513-batch-real-001,Q-SYSTEM-0042,B,B,22.2s 锂电池,0,20
20260513-batch-real-001,Q-SYSTEM-0042,C,C,3s 锂电池,0,30
20260513-batch-real-001,Q-SYSTEM-0043,A,A,铅酸蓄电池,0,10
20260513-batch-real-001,Q-SYSTEM-0043,B,B,镍镉电池,1,20
20260513-batch-real-001,Q-SYSTEM-0043,C,C,锂聚合物电池,0,30
20260513-batch-real-001,Q-SYSTEM-0044,A,A,聚合物电池,1,10
20260513-batch-real-001,Q-SYSTEM-0044,B,B,铅酸电池,0,20
20260513-batch-real-001,Q-SYSTEM-0044,C,C,银锌电池,0,30
20260513-batch-real-001,Q-SYSTEM-0045,A,A,铅酸蓄电池,0,10
20260513-batch-real-001,Q-SYSTEM-0045,B,B,碱性电池,0,20
20260513-batch-real-001,Q-SYSTEM-0045,C,C,聚合物锂电池,1,30
20260513-batch-real-001,Q-SYSTEM-0046,A,A,锂聚合物电池,1,10
20260513-batch-real-001,Q-SYSTEM-0046,B,B,镍镉电池,0,20
20260513-batch-real-001,Q-SYSTEM-0046,C,C,镍氢电池,0,30
20260513-batch-real-001,Q-SYSTEM-0047,A,A,理论上，以 6A 电流放电，可放电 1 小时,1,10
20260513-batch-real-001,Q-SYSTEM-0047,B,B,理论上，以 60A 电流放电，可放电 1 小时,0,20
20260513-batch-real-001,Q-SYSTEM-0047,C,C,理论上，以 6000A 电流放电，可放电 1 小时,0,30
20260513-batch-real-001,Q-SYSTEM-0048,A,A,"2Ah,30C",0,10
20260513-batch-real-001,Q-SYSTEM-0048,B,B,"30000mAh,5C",1,20
20260513-batch-real-001,Q-SYSTEM-0048,C,C,"20000mAh,5C",0,30
20260513-batch-real-001,Q-SYSTEM-0049,A,A,6,0,10
20260513-batch-real-001,Q-SYSTEM-0049,B,B,7,1,20
20260513-batch-real-001,Q-SYSTEM-0049,C,C,12,0,30
20260513-batch-real-001,Q-SYSTEM-0050,A,A,6S 电池有 5 根红色引线，1 根黑色引出线,0,10
20260513-batch-real-001,Q-SYSTEM-0050,B,B,6S 电池有 7 根引出线,1,20
20260513-batch-real-001,Q-SYSTEM-0050,C,C,6S 电池有 6 根引出线,0,30
20260513-batch-real-001,Q-SYSTEM-0051,A,A,飞控—接收机—电机—电调,0,10
20260513-batch-real-001,Q-SYSTEM-0051,B,B,接收机—飞控—电调—电机,1,20
20260513-batch-real-001,Q-SYSTEM-0051,C,C,飞控—电调—接收机—电机,0,30
20260513-batch-real-001,Q-SYSTEM-0052,A,A,参与,1,10
20260513-batch-real-001,Q-SYSTEM-0052,B,B,不参与,0,20
20260513-batch-real-001,Q-SYSTEM-0052,C,C,不确定,0,30
20260513-batch-real-001,Q-SYSTEM-0053,A,A,机载导航飞控系统,1,10
20260513-batch-real-001,Q-SYSTEM-0053,B,B,机载遥控接收机,0,20
20260513-batch-real-001,Q-SYSTEM-0053,C,C,机载任务系统,0,30
20260513-batch-real-001,Q-SYSTEM-0054,A,A,可以应用于各种特种飞行器,0,10
20260513-batch-real-001,Q-SYSTEM-0054,B,B,基于 ANDROID 开发,0,20
20260513-batch-real-001,Q-SYSTEM-0054,C,C,配有地面站软件，代码开源,1,30
20260513-batch-real-001,Q-SYSTEM-0055,A,A,功能强大，可实现全自主飞行,0,10
20260513-batch-real-001,Q-SYSTEM-0055,B,B,价格便宜，硬件结构简单,1,20
20260513-batch-real-001,Q-SYSTEM-0055,C,C,配有地面站软件，代码开源,0,30
20260513-batch-real-001,Q-SYSTEM-0056,A,A,无人机姿态稳定与控制,1,10
