batch_no,source_file,source_locator,category_code,question_code,question_type,stem,correct_answer,analysis,score,sort_no,source_ref,parse_status,review_reason,options_payload_json,answer_payload_json,raw_payload_json
20260513-batch-real-001,raw-bank/概述.docx,第11题,overview,Q-OVERVIEW-0011,single_choice,不属于无人机机型的是 ？,A,"选项A""赛斯纳""：是美国著名通用航空飞机制造商，主要生产有人驾驶轻型飞机，不属于无人机机型。
选项B""侦察兵""：是典型的军用无人机型号，属于无人机范畴。
选项C""捕食者""：是美国著名的MQ-1捕食者无人机，是典型的军用无人机。",1,11,raw-bank/概述.docx#第11题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""赛斯纳""}, {""optionCode"": ""B"", ""optionContent"": ""侦察兵""}, {""optionCode"": ""C"", ""optionContent"": ""捕食者""}]","{""correctAnswer"": ""A""}","{""sourceLines"": [""11.不属于无人机机型的是 ？"", ""A.赛斯纳"", ""B.侦察兵"", ""C.捕食者"", ""参考答案：A"", ""解析："", ""选项A\""赛斯纳\""：是美国著名通用航空飞机制造商，主要生产有人驾驶轻型飞机，不属于无人机机型。"", ""选项B\""侦察兵\""：是典型的军用无人机型号，属于无人机范畴。"", ""选项C\""捕食者\""：是美国著名的MQ-1捕食者无人机，是典型的军用无人机。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第12题,overview,Q-OVERVIEW-0012,single_choice,中空无人机任务高度一般在______之间,C,"根据无人机分类标准：
超低空无人机：任务高度在0~100米之间
低空无人机：任务高度一般在100~1000米之间
中空无人机：任务高度在1000~7000米之间
因此，中空无人机的任务高度范围是100~7000米。",1,12,raw-bank/概述.docx#第12题,needs_manual_review,answer does not map to parsed options,"[{""optionCode"": ""A"", ""optionContent"": ""0~100m""}, {""optionCode"": ""B"", ""optionContent"": ""100~1000m C.1000~7000m""}]","{""correctAnswer"": ""C""}","{""sourceLines"": [""12.中空无人机任务高度一般在______之间"", ""A.0~100m"", ""B.100~1000m C.1000~7000m"", ""参考答案：C"", ""解析：根据无人机分类标准："", ""超低空无人机：任务高度在0~100米之间"", ""低空无人机：任务高度一般在100~1000米之间"", ""中空无人机：任务高度在1000~7000米之间"", ""因此，中空无人机的任务高度范围是100~7000米。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第13题,overview,Q-OVERVIEW-0013,single_choice,不属于无人机系统的是,B,"飞行器平台：无人机的机体结构，用于承载其他系统。
导航飞控系统：负责无人机的飞行控制和导航。
飞行员是有人驾驶飞机的组成部分，而无人机是无人驾驶的，因此飞行员不属于无人机系统。",1,13,raw-bank/概述.docx#第13题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""飞行器平台""}, {""optionCode"": ""B"", ""optionContent"": ""飞行员""}, {""optionCode"": ""C"", ""optionContent"": ""导航飞控系统""}]","{""correctAnswer"": ""B""}","{""sourceLines"": [""13.不属于无人机系统的是"", ""A.飞行器平台"", ""B.飞行员"", ""C.导航飞控系统"", ""参考答案：B"", ""解析："", ""飞行器平台：无人机的机体结构，用于承载其他系统。"", ""导航飞控系统：负责无人机的飞行控制和导航。"", ""飞行员是有人驾驶飞机的组成部分，而无人机是无人驾驶的，因此飞行员不属于无人机系统。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第14题,overview,Q-OVERVIEW-0014,single_choice,Ⅱ类无人机是指,C,"根据无人机分类国家标准：II类无人机的定义为：空机质量大于1.5KG且小于等于4KG，同时起飞全重大于1.5KG且小于等于7KG的无人机。
选项A描述的是微型无人机（起飞全重≤4KG）的部分特征，但不够准确。
选项B描述的是III类及以上无人机的特征（空机质量＞4KG）。",1,14,raw-bank/概述.docx#第14题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""起飞全重小于 4KG 的无人机""}, {""optionCode"": ""B"", ""optionContent"": ""空机重量大于 4KG 的无人机""}, {""optionCode"": ""C"", ""optionContent"": ""空机质量大于 0.25KG 小于等于 4KG，起飞全重大于 1.5KG 小于等于 7KG 的无人机""}]","{""correctAnswer"": ""C""}","{""sourceLines"": [""14.Ⅱ类无人机是指"", ""A.起飞全重小于 4KG 的无人机"", ""B.空机重量大于 4KG 的无人机"", ""C.空机质量大于 0.25KG 小于等于 4KG，起飞全重大于 1.5KG 小于等于 7KG 的无人机"", ""参考答案：C"", ""解析：根据无人机分类国家标准：II类无人机的定义为：空机质量大于1.5KG且小于等于4KG，同时起飞全重大于1.5KG且小于等于7KG的无人机。"", ""选项A描述的是微型无人机（起飞全重≤4KG）的部分特征，但不够准确。"", ""选项B描述的是III类及以上无人机的特征（空机质量＞4KG）。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第15题,overview,Q-OVERVIEW-0015,single_choice,Ⅲ无人机是指,B,"题目详解根据中国民用航空局《轻小无人机运行规定（试行）》：
其中A选项：描述的是IV类无人机（空机质量≥15KG）
其中B选项：正确描述了III类无人机（空机质量4-15KG，起飞全重7-25KG）
其中C选项：描述的是I类无人机（起飞全重≤5KG",1,15,raw-bank/概述.docx#第15题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""空机质量大于等于 15KG 的无人机""}, {""optionCode"": ""B"", ""optionContent"": ""空机质量大于 4KG 小于等于 15KG，起飞全重大于 7KG 小于等于 25KG 的无人机""}, {""optionCode"": ""C"", ""optionContent"": ""起飞全重小于等于 5KG 的无人机""}]","{""correctAnswer"": ""B""}","{""sourceLines"": [""15.Ⅲ无人机是指"", ""A.空机质量大于等于 15KG 的无人机"", ""B.空机质量大于 4KG 小于等于 15KG，起飞全重大于 7KG 小于等于 25KG 的无人机"", ""C.起飞全重小于等于 5KG 的无人机"", ""参考答案：B"", ""解析：题目详解根据中国民用航空局《轻小无人机运行规定（试行）》："", ""其中A选项：描述的是IV类无人机（空机质量≥15KG）"", ""其中B选项：正确描述了III类无人机（空机质量4-15KG，起飞全重7-25KG）"", ""其中C选项：描述的是I类无人机（起飞全重≤5KG""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第16题,overview,Q-OVERVIEW-0016,single_choice,Ⅳ无人机是指,A,"Ⅳ级别无人机是指空机质量大于15千克但小于等于116千克的无人机（对应选项A的前半部分）题目选项A完整描述为""空机质量大于15kG小于等于116KG，起飞全重大于25KG小于等于150KG""，这与标准定义完全一致
选项B和C的描述与标准定义不符",1,16,raw-bank/概述.docx#第16题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""空机质量大于 15kG 小于等于 116KG，起飞全重大于 25KG 小于等于 150KG 的无人机""}, {""optionCode"": ""B"", ""optionContent"": ""空机质量大于 25KG 的无人机""}, {""optionCode"": ""C"", ""optionContent"": ""起飞全重小于 25KG 的无人机""}]","{""correctAnswer"": ""A""}","{""sourceLines"": [""16.Ⅳ无人机是指"", ""A.空机质量大于 15kG 小于等于 116KG，起飞全重大于 25KG 小于等于 150KG 的无人机"", ""B.空机质量大于 25KG 的无人机"", ""C.起飞全重小于 25KG 的无人机"", ""参考答案：A"", ""解析：Ⅳ级别无人机是指空机质量大于15千克但小于等于116千克的无人机（对应选项A的前半部分）题目选项A完整描述为\""空机质量大于15kG小于等于116KG，起飞全重大于25KG小于等于150KG\""，这与标准定义完全一致"", ""选项B和C的描述与标准定义不符""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第17题,overview,Q-OVERVIEW-0017,single_choice,哪两类无人机由局方实施管理,A,"根据中国民用航空局《民用无人驾驶航空器系统空中交通管理办法》：
1.在融合空域运行的XI、XII类无人机（大型无人机）必须由局方实施严格管理。
2.在隔离空域内运行的I、II类无人机（微型/轻型无人机）通常由运营人自行管理。
3.无人飞艇作为特殊类别航空器，也需局方管理。
因此，由局方直接管理的两类无人机是：
在融合空域运行的XI、XII类无人机和无人飞艇",1,17,raw-bank/概述.docx#第17题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""在融合空域运行的Ⅺ、Ⅻ类无人机""}, {""optionCode"": ""B"", ""optionContent"": ""在隔离空域内运行的 Ⅰ 、 Ⅱ类无人机""}, {""optionCode"": ""C"", ""optionContent"": ""无人飞艇""}]","{""correctAnswer"": ""A""}","{""sourceLines"": [""17.哪两类无人机由局方实施管理"", ""A.在融合空域运行的Ⅺ、Ⅻ类无人机"", ""B.在隔离空域内运行的 Ⅰ 、 Ⅱ类无人机"", ""C.无人飞艇"", ""参考答案：A"", ""解析：根据中国民用航空局《民用无人驾驶航空器系统空中交通管理办法》："", ""1.在融合空域运行的XI、XII类无人机（大型无人机）必须由局方实施严格管理。"", ""2.在隔离空域内运行的I、II类无人机（微型/轻型无人机）通常由运营人自行管理。"", ""3.无人飞艇作为特殊类别航空器，也需局方管理。"", ""因此，由局方直接管理的两类无人机是："", ""在融合空域运行的XI、XII类无人机和无人飞艇""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第18题,overview,Q-OVERVIEW-0018,single_choice,活塞式发动机的 CDI 系统是用（）,A,"CDI 系统即电容放电点火系统，其核心部件是电子打火器。
排气系统主要用于排出燃烧后的废气。
进气系统负责吸入新鲜空气和燃油混合物。
所以活塞式发动机的 CDI 系统是用电子打火器。",1,18,raw-bank/概述.docx#第18题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""电子打火器""}, {""optionCode"": ""B"", ""optionContent"": ""排气系统""}, {""optionCode"": ""C"", ""optionContent"": ""进气系统""}]","{""correctAnswer"": ""A""}","{""sourceLines"": [""18.活塞式发动机的 CDI 系统是用（）"", ""A.电子打火器"", ""B.排气系统"", ""C.进气系统"", ""参考答案：A"", ""解析：CDI 系统即电容放电点火系统，其核心部件是电子打火器。"", ""排气系统主要用于排出燃烧后的废气。"", ""进气系统负责吸入新鲜空气和燃油混合物。"", ""所以活塞式发动机的 CDI 系统是用电子打火器。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第19题,overview,Q-OVERVIEW-0019,single_choice,活塞式发动机燃料油箱用的是（）,C,活塞式发动机是一种常见的内燃机类型，广泛应用于航空、汽车等领域。燃料油箱是用来存储发动机所需燃料的容器。对于活塞式发动机来说，其燃料主要是汽油，而滑油则是用于润滑发动机内部部件，通常存放在专门的滑油箱中。因此，活塞式发动机的燃料油箱中应存放汽油。,1,19,raw-bank/概述.docx#第19题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""汽油""}, {""optionCode"": ""B"", ""optionContent"": ""滑油""}, {""optionCode"": ""C"", ""optionContent"": ""汽油和滑油""}]","{""correctAnswer"": ""C""}","{""sourceLines"": [""19.活塞式发动机燃料油箱用的是（）"", ""A.汽油"", ""B.滑油"", ""C.汽油和滑油"", ""参考答案：C"", ""解析：活塞式发动机是一种常见的内燃机类型，广泛应用于航空、汽车等领域。燃料油箱是用来存储发动机所需燃料的容器。对于活塞式发动机来说，其燃料主要是汽油，而滑油则是用于润滑发动机内部部件，通常存放在专门的滑油箱中。因此，活塞式发动机的燃料油箱中应存放汽油。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第20题,overview,Q-OVERVIEW-0020,single_choice,无人机的伺服机构是（）,A,"无人机的伺服机构主要用于控制无人机的飞行姿态和动作。电动伺服机构因其响应速度快、控制精度高、体积小、重量轻且易于维护，成为无人机的首选。
气动和油动伺服机构由于体积大、重量重、维护复杂等原因，不常用于无人机。",1,20,raw-bank/概述.docx#第20题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""电动""}, {""optionCode"": ""B"", ""optionContent"": ""气动""}, {""optionCode"": ""C"", ""optionContent"": ""油动""}]","{""correctAnswer"": ""A""}","{""sourceLines"": [""20.无人机的伺服机构是（）"", ""A.电动"", ""B.气动"", ""C.油动"", ""参考答案：A"", ""解析：无人机的伺服机构主要用于控制无人机的飞行姿态和动作。电动伺服机构因其响应速度快、控制精度高、体积小、重量轻且易于维护，成为无人机的首选。"", ""气动和油动伺服机构由于体积大、重量重、维护复杂等原因，不常用于无人机。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第21题,overview,Q-OVERVIEW-0021,single_choice,地面逆风起飞，滑跑距离（）,B,在地面逆风起飞时，逆风会增加飞机的相对空速。相对空速的增加意味着飞机在相同的地速下可以获得更大的升力，从而减少起飞所需的滑跑距离。因此，逆风起飞会使滑跑距离减短。,1,21,raw-bank/概述.docx#第21题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""增长""}, {""optionCode"": ""B"", ""optionContent"": ""减短""}, {""optionCode"": ""C"", ""optionContent"": ""一样""}]","{""correctAnswer"": ""B""}","{""sourceLines"": [""21.地面逆风起飞，滑跑距离（）"", ""A.增长"", ""B.减短"", ""C.一样"", ""参考答案：B"", ""解析：在地面逆风起飞时，逆风会增加飞机的相对空速。相对空速的增加意味着飞机在相同的地速下可以获得更大的升力，从而减少起飞所需的滑跑距离。因此，逆风起飞会使滑跑距离减短。""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第22题,overview,Q-OVERVIEW-0022,single_choice,Ⅰ类， Ⅱ类无人机型归（）监管,C,"1.无人机分类：I类：空机重量≤0.25kg的微型无人机II类：空机重量>0.25kg且≤4kg的轻型无人机
2.监管规定：根据《民用无人驾驶航空器系统驾驶员管理暂行规定》，I类、II类无人机由民航局负责监管AOPA（中国航空器拥有者及驾驶员协会）负责培训认证，但不具监管职能""不需要监管""不符合现行法规",1,22,raw-bank/概述.docx#第22题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""AOPA""}, {""optionCode"": ""B"", ""optionContent"": ""民航局""}, {""optionCode"": ""C"", ""optionContent"": ""不需要""}]","{""correctAnswer"": ""C""}","{""sourceLines"": [""22.Ⅰ类， Ⅱ类无人机型归（）监管"", ""A.AOPA"", ""B.民航局"", ""C.不需要"", ""参考答案：C"", ""解析：1.无人机分类：I类：空机重量≤0.25kg的微型无人机II类：空机重量>0.25kg且≤4kg的轻型无人机"", ""2.监管规定：根据《民用无人驾驶航空器系统驾驶员管理暂行规定》，I类、II类无人机由民航局负责监管AOPA（中国航空器拥有者及驾驶员协会）负责培训认证，但不具监管职能\""不需要监管\""不符合现行法规""], ""sourceFile"": ""概述.docx""}"
20260513-batch-real-001,raw-bank/概述.docx,第23题,overview,Q-OVERVIEW-0023,single_choice,对于 Ⅰ 、 Ⅱ类级别无人机系统驾驶员,B,"根据中国民用航空局《民用无人机驾驶员管理规定》：
1、I、II类无人机属于微型和轻型无人机
2、这类无人机驾驶员无须证照管理
3、驾驶员自行承担安全责任
4、行业协会和局方不直接管理这类资质",1,23,raw-bank/概述.docx#第23题,parsed,,"[{""optionCode"": ""A"", ""optionContent"": ""人员资质由行业协会负责管理""}, {""optionCode"": ""B"", ""optionContent"": ""无须证照管理，自行负责""}, {""optionCode"": ""C"", ""optionContent"": ""人员资质由局方负责管理""}]","{""correctAnswer"": ""B""}","{""sourceLines"": [""23.对于 Ⅰ 、 Ⅱ类级别无人机系统驾驶员"", ""A.人员资质由行业协会负责管理"", ""B.无须证照管理，自行负责"", ""C.人员资质由局方负责管理"", ""参考答案：B"", ""解析：根据中国民用航空局《民用无人机驾驶员管理规定》："", ""1、I、II类无人机属于微型和轻型无人机"", ""2、这类无人机驾驶员无须证照管理"", ""3、驾驶员自行承担安全责任"", ""4、行业协会和局方不直接管理这类资质""], ""sourceFile"": ""概述.docx""}"
