condition_id,occurrence_id,condition_template_id,case_id,question_bank_id,chunk_id,batch,source_version,question_type,exam_date,exam_site,source_docx,source_page,source_row_index,condition_index,condition_marker,condition_type,raw_text,normalized_values,units,waypoint_refs,latlon_text,angle_values,speed_values,height_values,distance_values,quality_flags
gcond_22c9e3aa416f,gcond_22c9e3aa416f,gctpl_cdc5fa5f3876,gsec_f38b9f2de719,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_0,2026H1,2026H1,双经纬度题型,2026-04-27,河南03考场,双经纬度题型-考试条件提取.docx,1,4,4,4、,coordinate;bearing_angle;geometry,图形要求：3点位于2点的NE方向,3;2,,,,,,,,
gcond_91f936e17493,gcond_91f936e17493,gctpl_f3b5123a06c9,gsec_f38b9f2de719,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_0,2026H1,2026H1,双经纬度题型,2026-04-27,河南03考场,双经纬度题型-考试条件提取.docx,1,5,5,5、,speed_height,"整体航线高度为90m,航线水平速度为4ms,垂直爬升速度为2ms",90;4;2,m;s;度,,,,4ms;2ms,90m,,
gcond_9565bf436ad3,gcond_9565bf436ad3,gctpl_fa7b69a30af3,gsec_f38b9f2de719,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_0,2026H1,2026H1,双经纬度题型,2026-04-27,河南03考场,双经纬度题型-考试条件提取.docx,1,6,6,6、,turn_hold_loop,转弯模式为：定点转弯，停留时间为5S,5,S,,,,,,,
gcond_887768cd346c,gcond_887768cd346c,gctpl_526caad31cee,gsec_f38b9f2de719,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_0,2026H1,2026H1,双经纬度题型,2026-04-27,河南03考场,双经纬度题型-考试条件提取.docx,1,7,7,7、,turn_hold_loop;geometry,图形循环模式为：闭合不循环,,,,,,,,,
gcond_117c9ea47cc8,gcond_117c9ea47cc8,gctpl_4bbd4ce5594a,gsec_2469c0570473,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_1,2026H1,2026H1,双经纬度题型,2026-06-16,,双经纬度题型-考试条件提取.docx,2,1,1,(一),coordinate;speed_height;turn_hold_loop,"规划扫描航线要求闭合不循环，航线长度为，航线间隔 为b,航线相对地面高度为c,水平速度为d,垂直速度为e,转弯模 式为协调转弯。",,度,,,,,,,
gcond_9dd9bc4a8ad7,gcond_9dd9bc4a8ad7,gctpl_eb14ee22a11e,gsec_2469c0570473,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_1,2026H1,2026H1,双经纬度题型,2026-06-16,,双经纬度题型-考试条件提取.docx,2,2,2,(二),coordinate;speed_height,"a值为300米，b值为100米，c值为300m,d值为3m/s, e值为2m/s。",300;100;300;3;2,m;m/s;米,,,,3m/s;2m/s,,,
gcond_e17e9ebec04f,gcond_e17e9ebec04f,gctpl_948c7b552cc1,gsec_2469c0570473,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_1,2026H1,2026H1,双经纬度题型,2026-06-16,,双经纬度题型-考试条件提取.docx,2,3,3,1、,coordinate;geometry,"题卡图形②点经纬度：N:26°25′26” ,E:120°12′12""",26;25;26;120;12;12,°;度,②,"N:26°25′26”;E:120°12′12""",26°;120°,,,,
gcond_3a992683f78f,gcond_3a992683f78f,gctpl_4169ca2530e5,gsec_2469c0570473,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_1,2026H1,2026H1,双经纬度题型,2026-06-16,,双经纬度题型-考试条件提取.docx,2,4,4,2、,coordinate;takeoff_return,"起飞点经纬度：N:26°25′12”，E:120°12′26""",26;25;12;120;12;26,°;度,起飞点,"N:26°25′12”;E:120°12′26""",26°;120°,,,,
gcond_031d7075af5e,gcond_031d7075af5e,gctpl_1d5ea9ceaadd,gsec_2469c0570473,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_1,2026H1,2026H1,双经纬度题型,2026-06-16,,双经纬度题型-考试条件提取.docx,2,5,5,3、,geometry;takeoff_return,题卡图形④点到题卡图形⑤点与题卡图形②点到起飞点的方向相反。,,,④;⑤;②;起飞点,,,,,,
gcond_f0dff427fbe3,gcond_f0dff427fbe3,gctpl_f8eb279276d2,gsec_c46278fb271d,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_2,2026H1,2026H1,双经纬度题型,2026-06-16,,双经纬度题型-考试条件提取.docx,3,1,1,1、,coordinate;geometry,"题卡图形①点经纬度：N:26°25′12 "",E:120°12′26”",26;25;12;120;12;26,°;度,①,N:26°25′12;E:120°12′26”,26°;120°,,,,
gcond_8b3ab9d2bb6a,gcond_8b3ab9d2bb6a,gctpl_2a50ec3082cd,gsec_c46278fb271d,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_2,2026H1,2026H1,双经纬度题型,2026-06-16,,双经纬度题型-考试条件提取.docx,3,2,2,2、,coordinate;takeoff_return,"起飞点经纬度：N:26°25′26”，E:1 20°12′12""",26;25;26;1;20;12;12,°;度,起飞点;1,N:26°25′26”;E:1,26°;20°,,,,
gcond_5f3cbdd125d3,gcond_5f3cbdd125d3,gctpl_800771ee19eb,gsec_c46278fb271d,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_2,2026H1,2026H1,双经纬度题型,2026-06-16,,双经纬度题型-考试条件提取.docx,3,3,3,3、,geometry;takeoff_return,题卡图形③点到题卡图形⑤点与题卡 图形①点到起飞点的方向相反。,,,③;⑤;①;起飞点,,,,,,
gcond_183a06358897,gcond_183a06358897,gctpl_3a5874ca88c1,gsec_c46278fb271d,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_2,2026H1,2026H1,双经纬度题型,2026-06-16,,双经纬度题型-考试条件提取.docx,3,4,4,1、,coordinate;speed_height;turn_hold_loop;geometry,"规划一个闭合六边形并循环执行，边长为a,①②③航点相对地 面高度为b,④⑤⑥航点相对地面高度为c,水平速度为d,垂直速 度为e,转弯方式为停止转弯，各点停留时间为f;",,度,①;②;③;④;⑤;⑥,,,,,,
gcond_a355dd3ae8fb,gcond_a355dd3ae8fb,gctpl_d3b5344b39ed,gsec_c46278fb271d,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_2,2026H1,2026H1,双经纬度题型,2026-06-16,,双经纬度题型-考试条件提取.docx,3,5,5,2、,coordinate;speed_height,"a值为300米，b值为100米，c值为125m,d值为3m/s,e值为2m/s ,f值为2s。",300;100;125;3;2;2,m;m/s;s;米,,,,3m/s;2m/s,,,
gcond_8c23129c97f5,gcond_8c23129c97f5,gctpl_4705ad860b7c,gsec_923aed527408,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_3,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,4,1,1,(一),speed_height;turn_hold_loop;bearing_angle;geometry;takeoff_return,"按图于起飞点前规划一个四边形并循环执行，①②边、②③边边 长为a,③④边边长为b,∠②=∠③=90·航线相对地面高度为c,水平 速度为d，转弯模式为停止转弯，停留时间不作要求；",90,度,起飞点;①;②;②;③;③;④;②;③,,,,,,
gcond_4596e99e1e93,gcond_4596e99e1e93,gctpl_383f13920b66,gsec_923aed527408,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_3,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,4,2,2,(二),speed_height,"a值为20米，b值为30米，c值为30m,d值为3m/s。",20;30;30;3,m;m/s;米,,,,3m/s,,,
gcond_8e80d6dc4f42,gcond_8e80d6dc4f42,gctpl_60b480b9b7b1,gsec_923aed527408,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_3,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,4,3,3,一、,coordinate;takeoff_return,起飞点经纬度： N:28°39′30 E:115°56'30,28;39;30;115;56;30,°;度,起飞点,N:28°39′30;E:115°56'30,28°;115°,,,,
gcond_6fbc0de6118d,gcond_6fbc0de6118d,gctpl_153f7418aba0,gsec_923aed527408,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_3,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,4,4,4,二、,coordinate,"1点的经纬度： N:28°39'30"" E:115°56'25""",1;28;39;30;115;56;25,°;度,,"N:28°39'30"";E:115°56'25""",28°;115°,,,,
gcond_9fe5e0353ef4,gcond_9fe5e0353ef4,gctpl_797d65f72ad1,gsec_923aed527408,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_3,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,4,5,5,三、,other,2点位于1点东偏南 55°。,2;1;55,°,,,55°,,,,
gcond_e05f751944cf,gcond_e05f751944cf,gctpl_5079c397522a,gsec_4ef5c481c291,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_4,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,5,1,1,(一),speed_height;turn_hold_loop;geometry;takeoff_return,"于起飞点前规划一个六边形并循环执行，边长为a,①② ③航点相对地面高度为b，④⑤⑥航点相对地面高度为℃，水平速度 为d,转弯方式为停止转弯，各点停留时间为f;",,度,起飞点;①;②;③;④;⑤;⑥,,,,,,
gcond_95e4cab4f524,gcond_95e4cab4f524,gctpl_0d2c20d7830c,gsec_4ef5c481c291,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_4,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,5,2,2,(二),speed_height,"a值为30米（误差云±3米），b值为25米，c值为30m, d值为2m/s,f值为2s。",30;3;25;30;2;2,m;m/s;s;米,,,,2m/s,,,
gcond_3a00920ec69b,gcond_3a00920ec69b,gctpl_317f03993d51,gsec_4ef5c481c291,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_4,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,5,3,3,一、,coordinate;takeoff_return,起飞点经纬度： 3 5 N:28°39'30 E:115°56′30,3;5;28;39;30;115;56;30,°;度,起飞点;3;5,N:28°39'30;E:115°56′30,28°;115°,,,,
gcond_915a91a5ca59,gcond_915a91a5ca59,gctpl_11b2e9c53309,gsec_4ef5c481c291,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_4,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,5,4,4,二、,coordinate,1点的经纬度： N:28°39′30 E:115°56'25,1;28;39;30;115;56;25,°;度,,N:28°39′30;E:115°56'25,28°;115°,,,,
gcond_faaac0e77306,gcond_faaac0e77306,gctpl_fffb7ab7f4b0,gsec_4ef5c481c291,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_4,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,5,5,5,三、,other,2点位于1点东偏南 55°,2;1;55,°,,,55°,,,,
gcond_490ac7c933c4,gcond_490ac7c933c4,gctpl_09b6865e1b9a,gsec_e1f68e916907,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_5,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,6,1,1,(一),speed_height;turn_hold_loop;bearing_angle;geometry;takeoff_return,"按图于起飞点前规划一个闭合图形并循环执行，各点之间 距离不小于20米，①点相对地面高度为a、②点相对地面高度为b，③点 相对地面高度为c，④点相对地面高度为d，水平速度为f,∠①= ∠②=∠③=∠④=45·转弯模式为停止转弯，停留时间不作要求；",20;45,度;米,起飞点;①;②;③;④;①;②;③;④,,,,20米,20米,
gcond_623573361b84,gcond_623573361b84,gctpl_46bdad2a19ae,gsec_e1f68e916907,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_5,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,6,2,2,(二),speed_height,"a值为20米，b值为25米，c值为30m,d值为25m, f值为3m/s。",20;25;30;25;3,m;m/s;米,,,,3m/s,,,
gcond_d34f32a31838,gcond_d34f32a31838,gctpl_06003c759cb5,gsec_e1f68e916907,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_5,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,6,3,3,一、,coordinate;takeoff_return,起飞点经纬度： 4 N:28°39'30 E:115°56'30,4;28;39;30;115;56;30,°;度,起飞点;4,N:28°39'30;E:115°56'30,28°;115°,,,,
gcond_40334fbf2cf2,gcond_40334fbf2cf2,gctpl_fa525b6e6a94,gsec_e1f68e916907,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_5,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,6,4,4,二、,coordinate;geometry,"1点的经纬度： 任务航线示意图： N:28°39'30 E:115°56'25""",1;28;39;30;115;56;25,°;度,,"N:28°39'30;E:115°56'25""",28°;115°,,,,
gcond_f8a34cbc2530,gcond_f8a34cbc2530,gctpl_fffb7ab7f4b0,gsec_e1f68e916907,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_5,2026H1,2026H1,双经纬度题型,2026-05-22,江苏01考场,双经纬度题型-考试条件提取.docx,6,5,5,三、,other,2点位于1点东偏南 55°,2;1;55,°,,,55°,,,,
gcond_d81ddc218eeb,gcond_d81ddc218eeb,gctpl_4bf536fffd45,gsec_37b932d3cf68,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_6,2026H1,2026H1,双经纬度题型,2026-05-15,江西03考场,双经纬度题型-考试条件提取.docx,7,1,1,(一),coordinate;speed_height;turn_hold_loop;geometry,"按图规划一个闭合的任务航线不循环执行，①③、②③、 ②④、①④边长为300米，①点相对地面高度为a,②点相对地面高 度为b,③点相对地面高度为c,④点相对地面高度为d,水平速 度为e,垂直速度为f，转弯模式为停止转弯，停留时间4s;",300;4,s;度;米,①;③;②;③;②;④;①;④;①;②;③;④,,,,300米,300米,
gcond_d73218a336a0,gcond_d73218a336a0,gctpl_f46358155522,gsec_37b932d3cf68,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_6,2026H1,2026H1,双经纬度题型,2026-05-15,江西03考场,双经纬度题型-考试条件提取.docx,7,2,2,(二),coordinate;speed_height,"a值为30米，b值为35米，c值为40m,d值为25m, e值为2m/s,f值为2m/s。",30;35;40;25;2;2,m;m/s;米,,,,2m/s;2m/s,,,
gcond_feba1f8b6063,gcond_feba1f8b6063,gctpl_87dee3abbb8e,gsec_37b932d3cf68,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_6,2026H1,2026H1,双经纬度题型,2026-05-15,江西03考场,双经纬度题型-考试条件提取.docx,7,3,3,一、,coordinate;takeoff_return,起飞点经纬度： N:30°14'54 E:114°3′20,30;14;54;114;3;20,°;度,起飞点;3,N:30°14'54;E:114°3′20,30°;114°,,,,
gcond_735a94145d21,gcond_735a94145d21,gctpl_6f23838e0659,gsec_37b932d3cf68,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_6,2026H1,2026H1,双经纬度题型,2026-05-15,江西03考场,双经纬度题型-考试条件提取.docx,7,4,4,二：,coordinate;geometry,1点经纬度： 任务航线示意图： N:30°14'54 E:114°3′15,1;30;14;54;114;3;15,°;度,3,N:30°14'54;E:114°3′15,30°;114°,,,,
gcond_e4957561b289,gcond_e4957561b289,gctpl_dd8781bb1621,gsec_37b932d3cf68,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_6,2026H1,2026H1,双经纬度题型,2026-05-15,江西03考场,双经纬度题型-考试条件提取.docx,7,5,5,三：,other,2号点位于1点东偏南 45°,2;1;45,°,,,45°,,,,
gcond_9e10d82d5140,gcond_9e10d82d5140,gctpl_1ce7045e21d7,gsec_361d923cf669,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_7,2026H1,2026H1,双经纬度题型,2026-05-06,广东03考场,双经纬度题型-考试条件提取.docx,8,1,1,(一),coordinate;speed_height;turn_hold_loop;bearing_angle;geometry,"按图规划一个闭合四边形并循环执行，①②边、②③边边 长为a,①④边边长为b，∠①=∠②=90·航线相对地面高度为c, 水平速度为d,垂直速度为e,转弯模式为停止转弯，停留时间5s;",90;5,s;度,①;②;②;③;①;④;①;②,,,,,,
gcond_010dd31df124,gcond_010dd31df124,gctpl_5d31f8e63ce0,gsec_361d923cf669,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_7,2026H1,2026H1,双经纬度题型,2026-05-06,广东03考场,双经纬度题型-考试条件提取.docx,8,2,2,(二),coordinate;speed_height,"a值为200米，b值为400米，c值为300m,d值为 3m/s,e值为2m/s。",200;400;300;3;2,m;m/s;米,,,,3m/s;2m/s,,,
gcond_4218581735d5,gcond_4218581735d5,gctpl_edf1963d271c,gsec_361d923cf669,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_7,2026H1,2026H1,双经纬度题型,2026-05-06,广东03考场,双经纬度题型-考试条件提取.docx,8,3,3,一：,coordinate;takeoff_return,"起飞点经纬度： N:28°39′30"" E:115°56'32""",28;39;30;115;56;32,°;度,起飞点,"N:28°39′30"";E:115°56'32""",28°;115°,,,,
gcond_1eb6799076d0,gcond_1eb6799076d0,gctpl_500b8521fed0,gsec_361d923cf669,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_7,2026H1,2026H1,双经纬度题型,2026-05-06,广东03考场,双经纬度题型-考试条件提取.docx,8,4,4,二：,coordinate,"1点经纬度： N:28°39'25"" E:115°5632""",1;28;39;25;115;5632,°;度,,"N:28°39'25"";E:115°5632""",28°;115°,,,,
gcond_860d3e0ade71,gcond_860d3e0ade71,gctpl_5a4b0828f274,gsec_361d923cf669,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_7,2026H1,2026H1,双经纬度题型,2026-05-06,广东03考场,双经纬度题型-考试条件提取.docx,8,5,5,三：,other,2号点位于3号点西偏 北25度。,2;3;25,度,,,25度,,,,
gcond_13583418af38,gcond_13583418af38,gctpl_c75882ee68ac,gsec_bef724d69088,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_8,2026H1,2026H1,双经纬度题型,2026-05-10,湖北03考场,双经纬度题型-考试条件提取.docx,9,1,1,(一),coordinate;speed_height;turn_hold_loop;geometry,"按图规划一个闭合的任务航线不循环执行，①③、②③、 ②④、①④边长为300米，①点相对地面高度为a,②点相对地面高 度为b,③点相对地面高度为c,④点相对地面高度为d,水平速 度为e,垂直速度为f,转弯模式为停止转弯，停留时间4s",300;4,s;度;米,①;③;②;③;②;④;①;④;①;②;③;④,,,,300米,300米,
gcond_534d265ccbb8,gcond_534d265ccbb8,gctpl_f46358155522,gsec_bef724d69088,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_8,2026H1,2026H1,双经纬度题型,2026-05-10,湖北03考场,双经纬度题型-考试条件提取.docx,9,2,2,(二),coordinate;speed_height,"a值为30米，b值为35米，c值为40m,d值为25m, e值为2m/s,f值为2m/s。",30;35;40;25;2;2,m;m/s;米,,,,2m/s;2m/s,,,
gcond_f8cbda9b31fa,gcond_f8cbda9b31fa,gctpl_d63f4a4c64fc,gsec_bef724d69088,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_8,2026H1,2026H1,双经纬度题型,2026-05-10,湖北03考场,双经纬度题型-考试条件提取.docx,9,3,3,一、,coordinate;takeoff_return,"起飞点经纬度： :28°39'30 E:115°56'30""",28;39;30;115;56;30,°;度,起飞点,"E:115°56'30""",28°;115°,,,,possible_incomplete_latlon_pair
gcond_ca9a13e7a024,gcond_ca9a13e7a024,gctpl_0056dee9f0d7,gsec_bef724d69088,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_8,2026H1,2026H1,双经纬度题型,2026-05-10,湖北03考场,双经纬度题型-考试条件提取.docx,9,4,4,二：,coordinate;geometry,1点经纬度： 任务航线示意图： N:28°39'30 E:115°56'25,1;28;39;30;115;56;25,°;度,,N:28°39'30;E:115°56'25,28°;115°,,,,
gcond_a2e78a5c7993,gcond_a2e78a5c7993,gctpl_d9c39b4ae56a,gsec_bef724d69088,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_8,2026H1,2026H1,双经纬度题型,2026-05-10,湖北03考场,双经纬度题型-考试条件提取.docx,9,5,5,三：,other,2号点位于1点东偏南 35度。,2;1;35,度,,,35度,,,,
gcond_3b70c283102e,gcond_3b70c283102e,gctpl_c7a8ed63fa17,gsec_1fe8dbd6adf5,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_9,2026H1,2026H1,双经纬度题型,2026-04-27,浙江01考场,双经纬度题型-考试条件提取.docx,10,1,1,(一),coordinate;speed_height;turn_hold_loop;bearing_angle;geometry,"按图规划一个闭合四边形并循环执行，①②边、②③边边 长为a,①④边边长为b,∠①=∠②=90°航线相对地面高度为c, 水平速度为d，垂直速度为e,转弯模式为停止转弯，停留时间5s;",90;5,s;°;度,①;②;②;③;①;④;①;②,,90°,,,,
gcond_077d0ae6774c,gcond_077d0ae6774c,gctpl_5d31f8e63ce0,gsec_1fe8dbd6adf5,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_9,2026H1,2026H1,双经纬度题型,2026-04-27,浙江01考场,双经纬度题型-考试条件提取.docx,10,2,2,(二),coordinate;speed_height,"a值为200米，b值为400米，c值为300m,d值为 3m/s,e值为2m/s。",200;400;300;3;2,m;m/s;米,,,,3m/s;2m/s,,,
gcond_e10d6987d464,gcond_e10d6987d464,gctpl_77b20d5cc46b,gsec_1fe8dbd6adf5,qbank_3428e602e4fc,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_9,2026H1,2026H1,双经纬度题型,2026-04-27,浙江01考场,双经纬度题型-考试条件提取.docx,10,3,3,一：,coordinate;takeoff_return,起飞点经纬度： N:28°39′30” E:115°5632”,28;39;30;115;5632,°;度,起飞点,N:28°39′30”;E:115°5632”,28°;115°,,,,
