case_id,question_bank_id,document_id,chunk_id,doc_name,batch,source_version,exam_period_start,exam_period_end,exam_scope,question_type,source_docx,source_relative_path,source_page,declared_doc_pages,declared_doc_conditions,exam_site,province,exam_room,exam_date,condition_count,skill_labels,quality_flags,raw_text
gsec_1fe8dbd6adf5,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_9,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,10,21,106,浙江01考场,浙江,01考场,2026-04-27,5,经纬度换算;夹角计算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"浙江01考场地面站真题 | 日期：2026.04.27
(一) 按图规划一个闭合四边形并循环执行，①②边、②③边边 长为a,①④边边长为b,∠①=∠②=90°航线相对地面高度为c, 水平速度为d，垂直速度为e,转弯模式为停止转弯，停留时间5s;
(二) a值为200米，b值为400米，c值为300m,d值为 3m/s,e值为2m/s。
一： 起飞点经纬度： N:28°39′30” E:115°5632”
二： 1点经纬度 N:28°39′25” E:115°56′32”
三： 2号点位于3点西偏 北25"
gsec_a24b1dd9ebc5,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_10,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,11,21,106,河南03考场,河南,03考场,2026-04-27,7,经纬度换算;航向方位判断;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"河南03考场地面站真题 | 日期：2026.04.27
1、 如图所示规划一个正六边形，边长60m;
2、 1点位于：N:28.1234°，E116.12390986°
3、 起飞点位于：E:116.1234°，N:28.1234
4、 整体航线高度为90m,航线水平速度为4ms，垂直爬升速度为2ms
5、 转弯模式为：定点转弯，停留时间为3s
6、 图形循环模式为：闭合循环3圈
7、 图形要求：3点到1点的航向为30°方向"
gsec_4aabd0978659,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_11,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,12,21,106,浙江01考场,浙江,01考场,2026-03-27,4,经纬度换算;航向方位判断;夹角计算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;题型:双经纬度,,"浙江01考场地面站真题 | 日期：2026.03.27
(一) 与 的相对方位由委任代表根据现场环境 等情况进行决定。规划一个闭合等边三角形并循环执行，边长为a,所有航线 相对地面高度为b，水平速度为c,垂直速度为d，转弯方式为停止转弯，停 留时间5s;
(二) a值为50米，b值为50米，c值为3m/s,d值为2m/s。
二： ①点经纬度： E:112°42'34” N:30°23′18”
三： H-②的航向和②-①的 航向相反。"
gsec_57dc7ccf8e78,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_12,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,13,21,106,重床02考场,重床,02考场,2026-04-25,5,经纬度换算;夹角计算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"重床02考场地面站真题 | 日期：2026.04.25
(一) 规划一个闭合等腰直角三角形并循环执行，①②边长为1，①③边 长为a2,∠①为直角，航线相对地面高度b,水平速度为c,垂直速度为d, 转弯方式为停止转弯，停留时间为5S；
(二) a1、a2值为50米，b值为50米，c值为3ms,d值为2ms。
一、 起飞点经纬度： N:31°09′16” E:111°20'03""
二、 1点经纬度： N:31°09′20” E:111°20'03”
三、 3点位于2点东偏北 25°"
gsec_a1b9064c89ce,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_13,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,14,21,106,重床02考场,重床,02考场,2026-04-25,5,经纬度换算;夹角计算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"重床02考场地面站真题 | 日期：2026.04.25
(一) 规划一个闭合等边三角形并循环执行，边长为a，所有航线相对地 面高度为b，水平速度为c，垂直速度为d，转弯方式为停止转弯，停留时间 为f;
(二) a值为50米，b值为50米，c值为3m/s,d值为2m/s,f值为 8So
一、 起飞点经纬度： N:31°09'16” E:111°20'03”
二、 1点经纬度： N:31°09′10” E:111°20'03”
三、 3点位于2点东偏 南25°"
gsec_c539515211a6,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_14,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,15,21,106,湖北04考场,湖北,04考场,2026-03-10,4,经纬度换算;航向方位判断;夹角计算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"湖北04考场地面站真题 | 日期：2026.03.10
(一) 与 的相对方位由委任代表根据 现场环境等情况进行决定。按图于起飞点前规划一个五边形并循环执 行，①②边及②③边的边长为a,∠②=∠④=∠①为90°，航线相 对地面高度为b，水平速度为c，垂直速度为d,转弯模式为停止转 弯，各点停留时间为e；
(二) a值建议为30米，b值建议为30米，c值建议为 3m/s,d值建议为1m/s,e值建议为2s。(航线方位及各数值可由 委任代表按实际情况进行调整，考题以委任代表规定数值为准)
1、 起飞点坐标： N:23°24'20"" E:112°12'36"" 航点1坐标： N:23°24'18” E:112°12'36”
2、 H-1航向与3-2航向 相反。"
gsec_9774ead8dfaa,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_15,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,16,21,106,上海01考场,上海,01考场,2026-03-15,5,经纬度换算;航向方位判断;夹角计算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"上海01考场地面站真题 | 日期：2026.03.15
(一) 与 的相对方位由委任代表根据 现场环境等情况进行决定。按图于起飞点前规划一个四边形并循环执 行。①②边、②③边边长为a,③④边边长为b,∠②=∠③=90° 航线相对地面高度为c，水平速度为d，垂直速度为e，转弯模式为 停止转弯，停留时间不作要求；
(二) a值建议为20米，b值建议为30米，c值建议为30m, d值建议为3m/s。e值建议为2m/s。(航线方位及各数值可由委任 代表按实际情况进行调整，考题以委任代表规定数值为准) 安当处当，
1、 H点坐标： E:112°12'36"" N:23°42'18""
2、 ①点坐标： E:112°12'38"" N:23°42'18""
3、 H-①航向于③-② 航向相反"
gsec_24742865be92,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_16,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,17,21,106,上海01考场,上海,01考场,2026-03-15,5,经纬度换算;航向方位判断;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"上海01考场地面站真题 | 日期：2026.03.15
(一) 与 的相对方位由委任代表根据 现场环境等情况进行决定。于起飞点前规划一个六边形并循环执行， 边长为a，①②③航点相对地面高度为b,④⑤⑥航点相对地面高度 为c，水平速度为d，垂直速度为e,转弯方式为停止转弯，各点停 留时间为f;
(二) a值建议为30米（误差≤±3米），b值建议为25米 c建议为30m,d值建议为2m/s。e值建议为1m/s,f值建议为 2s。(航线方位及各数值可由变任代表按实际情况进行调整，考题以 委任代表规定数值为准)
1、 H点坐标： E:112°12'36” N:23°42'18”
2、 1点坐标： E:112°12′38” N:23°42'18”
3、 H点到1点航向与 3-2点航向相反。"
gsec_96c10377e5d5,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_17,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,18,21,106,上海01考场,上海,01考场,2026-03-15,5,经纬度换算;航向方位判断;夹角计算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"上海01考场地面站真题 | 日期：2026.03.15
(一) 与 的相对方位由委任代表根据 现场环境等情况进行决定。按图于起飞点前规划一个五边形并循环执 行，①②边及②③边的边长为a,∠②=∠④=∠①为90°，航线相 对地面高度为b，水平速度为c，垂直速度为d，转弯模式为停止 转弯，各点停留时间为e；
(二) a值建议为30米，b值建议为30米，c值建议为 3m/s,d值建议为1m/s。e值建议为2s。(航线方位及各数值可由 变任代表按实际情况进行调整，考题以委任代表规定数值为准)
1、 H点坐标： E:112°42'36"" N:23°12'18""
2、 1点坐标： E:112°42'36” N:23°12'20”
3、 H点到2点航向与 2-1点航向相反。"
gsec_5e55e0643993,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_18,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,19,21,106,浙江01考场,浙江,01考场,2026-03-27,5,经纬度换算;航向方位判断;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"浙江01考场地面站真题 | 日期：2026.03.27
(一) 与 的相对方位由委任代表根据现 场环境等情况进行决定。按图规划一个闭合的任务航线不循环执行， ①③、②③、②④、①④边长为300米，①点相对地面高度为a,②点 相对地面高度为b,③点相对地面高度为c,④点相对地面高度为d, 水平速度为e，垂直速度为f，转弯模式为停止转弯，停留时间2s；
(二) a值为20米，b值为25米，c值为30m,d值为20m, e值为2m/s,f值为2m/s。
一： 起飞点经纬度： E:112°42'36” N:30°23′18”
二： ①点经纬度： 任务航线示意图： E:112°42'34"" N:30°23'18”
三： H-②的航向和②-①的 航向相反。"
gsec_20eedfa4b380,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_19,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,20,21,106,浙江01考场,浙江,01考场,2026-03-27,5,经纬度换算;航向方位判断;夹角计算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双经纬度,,"浙江01考场地面站真题 | 日期：2026.03.27
(一) 与 的相对方位由委任代表根据现场环境等情 况进行决定。规划一个闭合五边形并循环执行，①②边及②③边的边长为a, ∠②=∠④=∠①为90°，航线相对地面高度为b,水平速度为c,垂直速度为d, 转弯模式为停止转弯，各点停留时间为e；
(二) a值建议为50米，b值建议为50米，c值建议为3m/s，d建议为 2m/s,e值建议为10s。
一： 起飞点经纬度： E:112°42'36” 任务航线示意图： :30°23′18”
二： ①点经纬度： E:112°42'34” N:30°23′18”
三： H-②的航向和②-①的 航向相反。"
gsec_f591576e45aa,qbank_3428e602e4fc,doc_48e702d45fb7,实操题库_地面站考试条件_2026H1_双经纬度题型.txt_20,实操题库_地面站考试条件_2026H1_双经纬度题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双经纬度题型,双经纬度题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双经纬度题型/双经纬度题型-考试条件提取.docx,21,21,106,浙江01考场,浙江,01考场,2026-03-27,4,经纬度换算;航向方位判断;速度高度参数设置;转弯停留循环设置;几何图形航线规划;题型:双经纬度,,"浙江01考场地面站真题 | 日期：2026.03.27
(一) 与 的相对方位由委任代表根据 现场环境等情况进行决定。规划一个闭合六边形并循环执行，边长为 a，①②③航点相对地面高度为b,④⑤⑥航点相对地面高度为c, 水平速度为d，垂直速度为e，转弯方式为停止转弯，各点停留时间 为f;
(二) a值为30米，b值为30米，c值为25m,d值为4m/s, e值为2m/s,f值为2so
二： ①点经纬度： E:112°42'34"" N:30°23′18”
三： H-②的航向和②-①的 航向相反。"
gsec_189031021ccd,qbank_289f36425828,doc_9d3388bb281d,实操题库_地面站考试条件_2026H1_双起飞点题型.txt_0,实操题库_地面站考试条件_2026H1_双起飞点题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双起飞点题型,双起飞点题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双起飞点题型/双起飞点题型-考试条件提取.docx,1,32,166,山西O3考场,山西,O3考场,2026-03-06,5,经纬度换算;航向方位判断;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双起飞点,doc_condition_count_mismatch;site_uses_letter_O;source_gap,"山西O3考场地面站真题 | 日期：2026.03.06
(一) 与 的相对方位由委任代表根据 现场环境等情况进行决定。规划一个六边形并循环执行，边长为a, ①②③航点相对地面高度为b,④⑤⑥航点相对地面高度为c,水平 速度为d,垂直速度为e，转弯方式为停止转弯，各点停留时间为f;
(二) a值为30米，b值为30米，c值为25m,d值为4m/s,e 值为2m/s,f值为2s。
1、 起飞点经纬度： N:27°46'19” E:123°12'17”
2、 起飞点到任务航 6 线航点3和航点5距 离相等，H-3和 H-5=30米。 起飞点在图形内侧。
3、 任务航线1号点位 于起飞点W方位。"
gsec_0d604cf359ca,qbank_289f36425828,doc_9d3388bb281d,实操题库_地面站考试条件_2026H1_双起飞点题型.txt_1,实操题库_地面站考试条件_2026H1_双起飞点题型.txt,2026H1,2026H1,2026-01-01,2026-06-30,CAAC执照考试地面站实操真题考试条件,双起飞点题型,双起飞点题型-考试条件提取.docx,地面站考试真题（2026年1月-6月）/双起飞点题型/双起飞点题型-考试条件提取.docx,2,32,166,河南01考场,河南,01考场,2026-05-17,5,经纬度换算;速度高度参数设置;转弯停留循环设置;几何图形航线规划;起飞返航点定位;题型:双起飞点,doc_condition_count_mismatch;source_gap,"河南01考场地面站真题 | 日期：2026.05.17
(一) 规划一个闭合六边形并不循环执行，边长为a,①②③航点 相对地面高度为b,④⑤⑥航点相对地面高度为c,水平速度为d, 垂直速度为e,转弯方式为停止转弯，各点停留时间为f;
(二) a值为400米，b值为50米，c值为60m,d值为10m/s, e值为3m/s,f值为8s。
一、 起飞点经纬度： N:34°50'26 E:113°15′32
二、 起飞点到任务航 线航点5和航点6距离相 等，H到5和H到6=400 米。 起飞点在图形外侧。
三、 起飞点位于任务航 点1号点南偏东25°"
